Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.263464	0.132682	0.871287	1.000000	
0.300884	0.132152	0.881188	1.000000	
0.184059	0.121769	0.970297	1.000000	
0.241416	0.117935	0.900990	1.000000	
0.206073	0.121631	0.950495	1.000000	
0.230754	0.132239	0.910891	1.000000	
0.200296	0.131203	0.930693	1.000000	
0.232846	0.119121	0.930693	1.000000	
0.268819	0.129580	0.891089	1.000000	
0.205010	0.135729	0.930693	1.000000	
0.203379	0.122768	0.930693	1.000000	
0.220853	0.122126	0.940594	1.000000	
0.301387	0.128483	0.891089	1.000000	
0.267918	0.126293	0.910891	1.000000	
0.261935	0.137153	0.881188	1.000000	
0.173482	0.138743	0.950495	1.000000	
0.220829	0.122646	0.891089	1.000000	
0.295674	0.119840	0.891089	1.000000	
0.238458	0.116943	0.900990	1.000000	
0.188739	0.122933	0.930693	1.000000	
0.197151	0.128114	0.950495	1.000000	
0.166549	0.120076	0.940594	1.000000	
0.214935	0.120699	0.900990	1.000000	
0.157645	0.132540	0.950495	1.000000	
0.154672	0.134053	0.950495	1.000000	
0.181254	0.122420	0.960396	1.000000	
0.205805	0.123770	0.920792	1.000000	
0.206587	0.122297	0.930693	1.000000	
0.223179	0.122676	0.920792	1.000000	
0.261420	0.123354	0.910891	1.000000	
0.222996	0.130859	0.910891	1.000000	
0.265724	0.124678	0.891089	1.000000	
0.218585	0.122115	0.910891	1.000000	
0.279327	0.119422	0.910891	1.000000	
0.152886	0.125430	0.950495	1.000000	
0.233608	0.133608	0.910891	1.000000	
0.227648	0.133527	0.910891	1.000000	
0.249797	0.119227	0.910891	1.000000	
0.269613	0.116919	0.900990	1.000000	
0.215269	0.123996	0.910891	1.000000	
0.194827	0.137409	0.930693	1.000000	
0.213935	0.131865	0.900990	1.000000	
0.190627	0.128098	0.940594	1.000000	
0.256386	0.125694	0.920792	1.000000	
0.185940	0.115027	0.930693	1.000000	
0.243274	0.128064	0.910891	1.000000	
0.202256	0.117903	0.920792	1.000000	
0.169394	0.113076	0.970297	1.000000	
0.313650	0.128677	0.871287	1.000000	
0.211184	0.129106	0.920792	1.000000	
0.204881	0.122469	0.920792	1.000000	
0.234914	0.124258	0.900990	1.000000	
0.158602	0.117909	0.960396	1.000000	
0.226924	0.116960	0.920792	1.000000	
0.186920	0.117528	0.940594	1.000000	
0.294051	0.121705	0.871287	1.000000	
0.218486	0.119016	0.930693	1.000000	
0.172071	0.130371	0.950495	1.000000	
0.274222	0.124109	0.891089	1.000000	
0.251179	0.122916	0.910891	1.000000	
0.275269	0.132906	0.900990	1.000000	
0.266994	0.120012	0.871287	1.000000	
0.330459	0.116509	0.861386	1.000000	
